tags,visible,lon,lat,version,timestamp,id,changeset,depot,industrial,landuse,military,residential,osm_type,basin,construction,farmyard,grass,port,railway
"{""visible"":false,""addr:city"":""Gandhinagar"",""addr:postcode"":""382007"",""name"":""Indroda Nature Park"",""tourism"":""zoo"",""wikidata"":""Q6027142"",""wikimedia_commons"":""Category:Indroda Dinosaur and Fossil Park"",""wikipedia"":""en:Indroda Dinosaur and Fossil Park""}",,,,8,1731660332,244342863,,,,forest,,,way,,,,,,
"{""visible"":false,""description"":""Explore the natural nature instead of artificial one on the bank of Sabarmati river, but be aware it might scare you up. Full of neelgay, monkeys, peacocks, rare birds accompied by manmade structures like camp site, amphitheatre, butterfly park."",""name"":""Aranya Udhyan"",""name:en"":""Aranya Park"",""opening_hours"":""Tu-Su 08:30-17:30"",""operator"":""GEER Foundation""}",,,,4,1666010238,338752478,,,,forest,,,way,,,,,,
"{""visible"":false}",,,,2,1733826834,1163653151,,,,forest,,,way,,,,,,
"{""visible"":false}",,,,1,1730099378,1328734058,,,,forest,,,way,,,,,,
"{""visible"":false}",,,,1,1730099378,1328734060,,,,forest,,,way,,,,,,
