name,competitor_type,sub_category,lat,lon,visible
Takasho Garden Living,schools,General Educational School,22.99503,72.49899,True
SVACo Visa Solutions,schools,General Educational School,22.99468,72.49893,True
Imperial Institute of Clinical Research,schools,General Educational School,22.9947,72.49884,True
Perception System,schools,College & University,22.9978,72.49935,True
Adani Vidya Mandir,schools,General Educational School,22.9921,72.49895,True
Smart & Active Kids Preschool,schools,Primary & Pre-School,22.98859,72.49946,True
Jagruti Kanya Vidyalaya,schools,Secondary & High School,22.98813,72.49978,True
Sarvajanik High School,schools,Secondary & High School,22.98282,72.4988,True
Vishal Institute of Automobiles,schools,General Educational School,22.98474,72.49847,True
AICSM ATC-Knowledge Expert Computer Academy,schools,General Educational School,22.9795,72.4983,True
Jingle Bells Junior School,schools,Secondary & High School,22.97746,72.49811,True
Rushikesh Vidhyalaya,schools,Secondary & High School,22.97591,72.49852,True
Rushikesh Higher Secon School,schools,Secondary & High School,22.97531,72.49882,True
ITI - Industrial Training Institute - Sarkhej,schools,General Educational School,22.97871,72.50044,True
BEST Diesel Service Mico-Bosch - FIP,schools,General Educational School,22.98111,72.50124,True
Pranam School,schools,Secondary & High School,22.98412,72.50149,True
Diamond International School,schools,International School,22.98367,72.50058,True
Sarkhej Kumar Primary School,schools,Primary & Pre-School,22.98108,72.50103,True
Sanket Institute of Science,schools,General Educational School,22.98277,72.50059,True
S.V.M International School,schools,International School,22.98282,72.50012,True
Tactpro Consulting Private Limited,schools,General Educational School,22.99431,72.49998,True
Horizon Institute of Import and Export Management,schools,General Educational School,22.99883,72.50104,True
Academy of Certified Valuators and Analysts,schools,General Educational School,22.99507,72.50053,True
"DAV International School, Ahmedabad",schools,International School,22.9943,72.50051,True
Clinvigilant,schools,General Educational School,22.99403,72.5005,True
Study India And Abroad,schools,General Educational School,22.99897,72.50158,True
Unilink Academy,schools,General Educational School,22.9985,72.50209,True
"at-HiQ (Business Coaching, Business Consultancy and Corporate Training , Gujarat, India)",schools,Coaching & Entrance Institute,22.99736,72.50197,True
Paraliya Computer,schools,General Educational School,22.99015,72.50179,True
Edunnect Global Services,schools,General Educational School,22.99765,72.50227,True
Aaryam art academy,schools,General Educational School,22.99767,72.50324,True
R.B. Jadeja Classic,schools,General Educational School,22.98302,72.50268,True
Sarkhej Kumar School 1,schools,Secondary & High School,22.97966,72.50374,True
Authentic spoken English and computer academy,schools,General Educational School,22.98784,72.50697,True
Bebz n boiz salon n academy association with  Brio salon,schools,General Educational School,22.99441,72.50692,True
Rangoli Preschool Vejalpur,schools,Primary & Pre-School,22.98842,72.50858,True
Gulshan E Maher English Primary School,schools,Primary & Pre-School,22.98587,72.50744,True
Raj Computers Academy,schools,General Educational School,22.98892,72.51149,True
Prosper Educare Canada,schools,General Educational School,22.99263,72.51216,True
Arvabil Dream Inception,schools,College & University,22.99263,72.51216,True
Code Fly Learn To Code,schools,General Educational School,22.99302,72.51274,True
Babes N' Tots Preschool Vejalpur,schools,Primary & Pre-School,22.99872,72.51291,True
SurajShantiniketan Vidyalaya,schools,Secondary & High School,22.99872,72.51291,True
Cuemath,schools,General Educational School,22.99263,72.51242,True
Crescent School,schools,Secondary & High School,22.99026,72.51232,True
"EuroKids Pre-School at Juhapura, Best Kindergarten",schools,Primary & Pre-School,22.99028,72.51261,True
Real Commerce Classes,schools,Coaching & Entrance Institute,22.98584,72.51177,True
Royal Tuition Classes,schools,Coaching & Entrance Institute,22.97929,72.51114,True
SHRI Chimanbhai Institute,schools,General Educational School,22.97766,72.51226,True
Fathehvadi Primary School,schools,Primary & Pre-School,22.96492,72.50918,True
Aptech Aviation Academy Ahmedabad,schools,General Educational School,22.94448,72.52075,True
Skylark Computer Classes,schools,Coaching & Entrance Institute,22.98907,72.51362,True
Playway,schools,General Educational School,22.98838,72.51431,True
Brainy - Satellite,schools,General Educational School,22.98969,72.51535,True
Shama School,schools,Secondary & High School,22.98997,72.51518,True
Gul International School,schools,International School,22.98816,72.51646,True
Udgeet Music,schools,General Educational School,22.99905,72.51576,True
Shining Spiral Ahmedabad - A Waldorf inspired School,schools,Secondary & High School,22.99897,72.51628,True
Cuemath,schools,General Educational School,22.99779,72.51639,True
Acharya Academy,schools,General Educational School,22.99907,72.51715,True
Noble Academy,schools,General Educational School,22.99038,72.51675,True
NRI Primary School,schools,Primary & Pre-School,22.98648,72.51805,True
Hazrat Khwaja Shah Noor Muhammed Badshah Qadri-al-Chisti,schools,General Educational School,22.99146,72.51875,True
Gaspur Pada Primary School,schools,Primary & Pre-School,22.98648,72.52063,True
SunRise Primary School,schools,Primary & Pre-School,22.99859,72.52086,True
Farooq E Aazam Radi Primary School,schools,Primary & Pre-School,22.98612,72.52211,True
"My Play School , Ahmedabad",schools,Secondary & High School,22.98604,72.52077,True
Intellectual Marketing Academy | Best Digital Marketing Course In Ahmedabad,schools,General Educational School,22.99287,72.52401,True
Mehjabin Saiyad Beauty Care Salon and Academy,schools,General Educational School,22.99474,72.52377,True
Majestic Institute,schools,General Educational School,22.99617,72.52359,True
Axis Classes,schools,Coaching & Entrance Institute,22.99626,72.52423,True
F.D. Higher secondary School,schools,Secondary & High School,22.99862,72.52433,True
F D Primary English School,schools,Secondary & High School,22.99288,72.52532,True
Yash Primary School,schools,Primary & Pre-School,22.99843,72.5263,True
Cuemath Al burooj center,schools,General Educational School,22.9882,72.52778,True
V-Create Preschool,schools,Primary & Pre-School,22.9882,72.52778,True
Oxford Science Academy,schools,General Educational School,22.99461,72.52848,True
The National English School,schools,Secondary & High School,22.994,72.52852,True
Athene Educational institute,schools,General Educational School,22.994,72.52852,True
Alhuda English School,schools,Secondary & High School,22.994,72.52852,True
The New Age High School,schools,Secondary & High School,22.99242,72.52883,True
Al Iman Primary School,schools,Primary & Pre-School,22.9915,72.52795,True
Angel School,schools,Secondary & High School,22.99097,72.52811,True
Sanklit Nagar Primary School,schools,Primary & Pre-School,22.99646,72.52939,True
Rangoli Juhapura,schools,General Educational School,22.99442,72.53035,True
Model English Medium School,schools,Secondary & High School,22.9952,72.53107,True
Juna vanazar primary schhol,schools,General Educational School,22.94495,72.52472,True
Sharda Shikshan Tirth primary school,schools,Primary & Pre-School,22.90471,72.53571,True
Farooq E Azam Computer Institute,schools,General Educational School,22.9948,72.532,True
Classic Primary School,schools,Primary & Pre-School,22.99514,72.53335,True
AQ Tutoring,schools,Coaching & Entrance Institute,22.99269,72.53423,True
Ahem Life Care,schools,General Educational School,22.99361,72.53406,True
7th Sky Foreign Education,schools,General Educational School,22.99367,72.53393,True
Model English School - Ahmedabad,schools,Secondary & High School,22.99571,72.53535,True
Concept Hyundai Vishala Showroom,schools,College & University,22.99273,72.53522,True
Arihant Computer Education,schools,General Educational School,22.9921,72.53682,True
Affix Films Institute,schools,General Educational School,22.99293,72.53612,True
Ganesha J Salon and Academy,schools,General Educational School,22.99288,72.53615,True
H3 Preschool Vishala,schools,Primary & Pre-School,22.99291,72.53627,True
Six Lane Educational Consultants,schools,General Educational School,22.993,72.5367,True
Radiance kids play school,schools,Primary & Pre-School,22.99884,72.53703,True
Little genius_new_vasana,schools,Primary & Pre-School,22.99194,72.53774,True
Concept Hyundai,schools,College & University,22.99186,72.53805,True
English World,schools,General Educational School,22.99492,72.53968,True
HD The Professionals Salon & Academy,schools,General Educational School,22.96637,72.53861,True
Gyaspur Primary School,schools,Primary & Pre-School,22.96716,72.53732,True
Noon Institute of Islamic Studies,schools,General Educational School,22.99385,72.54258,True
